Name,TeamAbbreviation,GamesPlayed,Minutes,PlusMinus,OnOffRtg,OnDefRtg,FirstChancePoints,ThreePtOffReboundedPct,AtRimOffReboundedPct,ShortMidRangeOffReboundedPct,LongMidRangeOffReboundedPct,Blocks,Blocked2s,Blocked3s,BlockedAtRim,BlockedShortMidRange,BlockedLongMidRange,BlockedCorner3,BlockedArc3,RecoveredBlocks,BlocksRecoveredPct,Steals,LostBallSteals,BadPassSteals,DefensiveGoaltends
Bojan Bogdanovic,NYK,257,7718,-37,116.0129474,116.27729812087354,4160,0.2564366632337796,0.36398467432950193,0.29273504273504275,0.2846715328467153,18,18,0,7,9,2,0,0,10,0.5555555555555556,143,28,115,1
Paul George,PHI,227,7706,1121,118.19762947693893,111.39273244536403,4819,0.18471953578336556,0.47547169811320755,0.3315508021390374,0.1714922048997773,98,92,6,47,42,3,2,4,60,0.6122448979591837,347,165,182,4
Draymond Green,GSW,258,7697,1048,116.95884849603249,110.70988415085039,1880,0.17901234567901234,0.3333333333333333,0.33624454148471616,0.16666666666666666,231,191,40,79,109,3,19,21,155,0.670995671,316,126,190,1
Miles Bridges,CHA,226,7681,-570,113.39621439041488,116.79068879984736,3663,0.21235521235521235,0.34285714285714286,0.32298136645962733,0.13821138211382114,157,147,10,97,46,4,4,6,93,0.5923566878980892,190,56,134,13
Grant Williams,CHA,311,7666,70,114.84183344092963,113.93389917695472,2168,0.2260596546310832,0.3821138211382114,0.32275132275132273,0.17647058823529413,164,132,32,66,50,16,9,23,94,0.573170732,173,52,121,5
Donte DiVincenzo,MIN,284,7653,540,117.28278041074249,114.0506329113924,2865,0.24150596877869604,0.33195020746887965,0.41333333333333333,0.22,75,71,4,43,25,3,1,3,42,0.56,353,105,248,3
Joel Embiid,PHI,229,7634,1449,119.22454527801152,110.1948051948052,6416,0.10961968680089486,0.4507042253521127,0.22739018087855298,0.14395393474088292,352,347,5,222,116,9,4,1,214,0.6079545454545454,241,68,173,19
Desmond Bane,MEM,261,7550,603,115.54946106256777,112.24764468371467,4010,0.2623814541622761,0.3745704467353952,0.38461538461538464,0.20588235294117646,97,81,16,37,40,4,3,13,60,0.6185567010309279,249,99,150,0
Bradley Beal,PHX,218,7527,0,115.96600785424579,115.95107821049244,4745,0.20910384068278806,0.38198757763975155,0.3287904599659284,0.2741514360313316,108,100,8,36,59,5,2,6,62,0.5740740740740741,219,82,137,2
Kyle Lowry,PHI,240,7492,205,113.77344733876848,112.67605633802816,2591,0.1702127659574468,0.42735042735042733,0.3067484662576687,0.20754716981132076,78,76,2,32,40,4,0,2,36,0.46153846153846156,245,117,128,0
