Name,TeamAbbreviation,GamesPlayed,Minutes,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct
Monte Morris,PHX,235,5821,269,11,93,22,11,5,36,0.052525252525252523,0.07660626,0.014360313315926894
Justin Holiday,DEN,249,5808,159,5,48,9,14,3,16,0.035178777,0.094117647,0.010620915032679739
Cedi Osman,SAS,274,5789,386,1,152,44,13,3,44,0.075342466,0.15767634854771784,0.010603588907014683
Chris Boucher,TOR,289,5784,697,2,328,78,8,0,46,0.14457831325301204,0.2213225371120108,0.009501188
T.J. McConnell,IND,266,5746,227,0,102,41,0,0,30,0.048733874820831344,0.053769109,0
P.J. Tucker,LAC,229,5743,115,0,28,7,1,0,32,0.032150776,0.06763285,0.00204918
Luke Kennard,MEM,245,5742,206,32,42,15,20,6,32,0.032760473,0.065318818,0.015586546349466776
Marcus Morris Sr.,CLE,225,5708,368,12,115,23,27,12,44,0.062035823503713415,0.090125392,0.026653504
Tre Jones,SAS,259,5679,414,17,160,41,1,0,57,0.084293194,0.10723860589812333,0.002392344
Matisse Thybulle,POR,267,5671,118,0,57,13,0,0,6,0.049265341400172864,0.11608961303462322,0
Jabari Smith Jr.,HOU,179,5594,440,7,192,38,4,0,37,0.092979127,0.15750615258408532,0.004499438
Patrick Beverley,MIL,235,5587,333,0,109,24,1,0,63,0.074274139,0.16100443131462333,0.001243781
Gary Harris,ORL,219,5574,254,20,92,21,9,2,25,0.061012813,0.1276005547850208,0.008714597
Isaiah Hartenstein,OKC,279,5536,451,0,217,70,1,0,40,0.15044858523119392,0.1585098612125639,0.0125
Derrick Jones Jr.,LAC,274,5519,412,0,208,55,3,0,21,0.1340533672172808,0.2115971515768057,0.005076142
Jarred Vanderbilt,LAL,245,5481,408,0,186,43,0,0,39,0.1425287356321839,0.15911035072711718,0
Killian Hayes,DET,210,5478,253,21,86,19,3,0,36,0.048687089715536105,0.070146819,0.004983389
Devonte' Graham,SAS,227,5472,445,25,131,23,25,6,58,0.07255814,0.19552238805970149,0.016891891891891893
Torrey Craig,CHI,266,5462,157,0,72,19,0,0,16,0.048192771,0.098630137,0
Delon Wright,MIL,255,5451,304,0,115,23,3,1,44,0.083451202,0.12721238938053098,0.005882353
Robert Covington,PHI,218,5449,197,1,71,8,5,0,23,0.054208274,0.1392156862745098,0.005605381
Lonnie Walker IV,BKN,244,5442,383,8,176,38,7,1,21,0.072160883,0.128,0.006029285
Payton Pritchard,BOS,291,5414,182,7,61,11,7,2,24,0.034119418,0.081117021,0.005640612
Paolo Banchero,ORL,157,5411,1152,9,549,109,7,0,67,0.18093068662544745,0.22894078398665554,0.01037037
Trey Murphy III,NOP,210,5400,432,56,164,45,8,0,37,0.086,0.2138200782268579,0.00648824
Onyeka Okongwu,ATL,256,5398,543,1,260,65,0,0,42,0.16049382716049382,0.17379679144385027,0
Zion Williamson,NOP,166,5376,1331,0,709,202,0,0,54,0.22080348800996574,0.22622846202935545,0
Talen Horton-Tucker,CHI,260,5345,560,10,272,69,0,0,35,0.11356993736951983,0.163855422,0
Jalen Suggs,ORL,201,5329,514,4,205,44,9,4,57,0.097184378,0.16585760517799353,0.00931677
Cade Cunningham,DET,159,5316,578,53,227,49,5,0,54,0.076872101,0.1071260028315243,0.005561735
Davion Mitchell,TOR,251,5286,186,3,73,27,0,0,31,0.041242938,0.071779744,0
Precious Achiuwa,NYK,265,5266,484,0,240,51,0,0,27,0.12631578947368421,0.1561483409238777,0
Andre Drummond,PHI,284,5259,763,0,370,91,0,0,57,0.17193308550185873,0.1737905119774542,0
Jaden Ivey,DET,175,5254,765,1,369,75,4,1,46,0.14401544401544403,0.2109777015437393,0.004756243
Jalen Williams,OKC,169,5230,493,4,248,59,0,0,27,0.10512929207291224,0.13847012841987716,0
Joe Ingles,MIN,233,5228,167,16,45,11,4,1,31,0.036002939,0.12465373961218837,0.004
Doug McDermott,SAC,264,5216,243,7,89,26,22,4,14,0.053088803,0.094781683,0.018534863195057368
Dwight Powell,DAL,297,5211,617,0,271,78,0,0,72,0.2310315430520034,0.24480578139114725,0
Kevin Porter Jr.,LAC,168,5196,588,9,222,56,34,4,50,0.1041073607157381,0.15677966101694915,0.032598274209012464
Aaron Nesmith,IND,249,5190,346,2,145,43,9,1,34,0.088439306,0.1724137931034483,0.008998875
